Title,Code,Demographic Group,Population,Period,Estimate,Unit,Lower CI,Upper CI,SE,Locality
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Total * ^,Total,2017 [1],51.7,percent,49.2,54.2,1.273,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Total * ^,Total,2018 [2],51.6,percent,48.7,54.4,1.46,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Total * ^,Total,2019 [3],55.1,percent,52.6,57.7,1.292,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Sex * ^,Male,2017 [1],50.1,percent,46.3,53.9,1.936,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Sex * ^,Male,2018 [2],51.4,percent,47.4,55.4,2.054,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Sex * ^,Male,2019 [3],54.6,percent,50.7,58.4,1.948,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Sex * ^,Female,2017 [1],53.4,percent,50.1,56.6,1.656,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Sex * ^,Female,2018 [2],51.7,percent,47.6,55.7,2.066,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Sex * ^,Female,2019 [3],55.7,percent,52.3,59,1.717,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,American Indian or Alaska Native only,2017 [1],56.8,percent,48.4,64.9,4.257,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,American Indian or Alaska Native only,2018 [2],60.7,percent,46.1,73.6,7.196,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,American Indian or Alaska Native only,2019 [3],69.3,percent,60.2,77,4.32,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Asian only,2017 [1],41.9,percent,30.3,54.4,6.259,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Asian only,2018 [2],46.7,percent,30.9,63.2,8.524,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Asian only,2019 [3],52.8,percent,34.3,70.6,9.718,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Native Hawaiian or Other Pacific Islander only,2017 [1],25.1,percent,14.8,39.2,6.273,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Native Hawaiian or Other Pacific Islander only,2018 [2],DSU,percent,,,,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Native Hawaiian or Other Pacific Islander only,2019 [3],DSU,percent,,,,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Black or African American only,2017 [1],51.7,percent,46.8,56.5,2.472,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Black or African American only,2018 [2],53.8,percent,48,59.5,2.95,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Black or African American only,2019 [3],53.5,percent,48.1,58.8,2.738,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,White only,2017 [1],53.5,percent,50.2,56.8,1.676,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,White only,2018 [2],52.3,percent,48.9,55.8,1.772,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,White only,2019 [3],56.5,percent,53.6,59.3,1.462,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,2 or more races,2017 [1],61.9,percent,45.1,76.2,8.19,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,2 or more races,2018 [2],45,percent,32.8,57.9,6.541,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,2 or more races,2019 [3],49.8,percent,39.4,60.3,5.416,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Hispanic or Latino,2017 [1],45.4,percent,39,52,3.333,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Hispanic or Latino,2018 [2],41.2,percent,33.7,49.2,3.997,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Hispanic or Latino,2019 [3],48.2,percent,42,54.5,3.207,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Not Hispanic or Latino,2017 [1],53.2,percent,50.7,55.7,1.287,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Not Hispanic or Latino,2018 [2],53.8,percent,50.8,56.7,1.504,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Not Hispanic or Latino,2019 [3],57.3,percent,54.7,59.9,1.323,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Not Hispanic or Latino: American Indian or Alaska Native only,2017 [1],60.5,percent,50.9,69.4,4.757,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Not Hispanic or Latino: American Indian or Alaska Native only,2018 [2],65.2,percent,48.8,78.7,7.819,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Not Hispanic or Latino: American Indian or Alaska Native only,2019 [3],58.1,percent,48.6,67.1,4.799,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Not Hispanic or Latino: Asian only,2017 [1],42.4,percent,30.6,55.2,6.408,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Not Hispanic or Latino: Asian only,2018 [2],48.1,percent,30.9,65.7,9.254,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Not Hispanic or Latino: Asian only,2019 [3],52.6,percent,33.8,70.6,9.85,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Not Hispanic or Latino: Native Hawaiian or Other Pacific Islander only,2017 [1],51.2,percent,30.7,71.3,10.986,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Not Hispanic or Latino: Native Hawaiian or Other Pacific Islander only,2018 [2],DSU,percent,,,,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Not Hispanic or Latino: Native Hawaiian or Other Pacific Islander only,2019 [3],DSU,percent,,,,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Not Hispanic or Latino: Black or African American only,2017 [1],52.8,percent,47.8,57.8,2.565,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Not Hispanic or Latino: Black or African American only,2018 [2],55.8,percent,49.8,61.6,3.027,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Not Hispanic or Latino: Black or African American only,2019 [3],54.8,percent,49.4,60,2.717,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Not Hispanic or Latino: White only,2017 [1],54.8,percent,52.2,57.3,1.3,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Not Hispanic or Latino: White only,2018 [2],53,percent,49.4,56.6,1.829,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Not Hispanic or Latino: White only,2019 [3],58.9,percent,56.1,61.6,1.408,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Not Hispanic or Latino: 2 or more races,2017 [1],61.8,percent,43.3,77.4,9.04,All reporting States
Increase the proportion of people with diabetes who get formal diabetes education - D-06,D-06,Race/Ethnicity * ^,Not Hispanic or Latino: 2 or more races,2018 [2],42.8,percent,30.5,56,6.639,All reporting States
